customer_id,month,segment,ad_exposure,conversion_lift,optimal_number_of_ads
ZGVMOTIPNST,2019-11-01,Segment 3,0,0,0
NAZFJEQAFHH,2019-01-01,Segment 4,0,0,0
VJCRWVUJEMF,2019-05-01,Segment 3,2,0.005320161581039429,4
TILGFRQETHY,2019-12-01,Segment 2,0,0,0
BNUNGOIYBQN,2019-09-01,Segment 5,0,0,0
YHNWBCUHNOI,2019-01-01,Segment 2,0,0,0
ZTFERPMLJYG,2019-04-01,Segment 3,4,0.0026544183492660522,6
QYQKHQVDLBQ,2019-11-01,Segment 5,0,0,0
BXXPKSPIAMQ,2019-10-01,Segment 4,5,0.0275210440158844,5
CNEETTSTNPI,2019-01-01,Segment 5,1,0.006067842245101929,1
KTGYRCDILWH,2019-10-01,Segment 2,0,0,0
HLFGQVNPDLW,2019-04-01,Segment 1,0,0,0
AYVIAVWXLYR,2019-07-01,Segment 5,0,0,0
NKZGJCRPUJA,2019-07-01,Segment 2,0,0,0
HODSLIHRCOD,2019-10-01,Segment 2,0,0,0
SDNGRBRFBCZ,2019-01-01,Segment 2,0,0,0
VANBBHKMMJY,2019-09-01,Segment 1,0,0,0
NDLNIQHLFUQ,2019-06-01,Segment 1,0,0,0
UXNYYDRTBJH,2019-01-01,Segment 2,0,0,0
SSQRGCXIIDW,2019-09-01,Segment 2,0,0,0
JNXSIAZMOOK,2019-01-01,Segment 4,0,0,0
QYOAOQBPFEZ,2019-10-01,Segment 4,0,0,0
WIVXADPZTPX,2019-11-01,Segment 5,0,0,0
FFVVVPSCONI,2019-10-01,Segment 5,0,0,0
BWEGIIJPWKY,2019-05-01,Segment 2,0,0,0
AJWRTOSGTNV,2019-03-01,Segment 2,0,0,0
VMVGPLYJGCC,2019-01-01,Segment 3,3,-0.0038174837827682495,6
MCFNLENZJFW,2019-07-01,Segment 3,0,0,0
GMZOLLIXCQE,2019-01-01,Segment 5,2,0.0022124648094177246,1
MAOGRDQZEHL,2019-11-01,Segment 5,6,0.08763481676578522,4
